team_name,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Philadelphia 76ers,23,241.1,34.0,80.8,.421,3.8,11.4,.336,30.2,69.4,.435,20.4,26.9,.761,14.1,29.7,43.9,20.0,8.0,4.9,12.4,20.7,92.3
Milwaukee Bucks,18,241.4,35.0,80.6,.434,6.7,17.6,.383,28.3,63.0,.449,18.9,23.7,.800,12.8,31.9,44.8,21.9,5.9,6.8,13.0,23.8,95.7
Los Angeles Lakers,16,241.6,38.3,81.8,.468,6.1,15.9,.386,32.1,65.9,.487,20.8,30.7,.676,14.3,33.9,48.2,22.8,9.2,5.8,14.0,22.7,103.4
San Antonio Spurs,13,240.0,33.4,76.1,.439,5.5,15.2,.364,27.8,60.8,.458,19.2,26.8,.716,10.7,32.9,43.6,19.6,6.1,6.0,13.9,20.7,91.5
Toronto Raptors,12,240.0,35.3,79.5,.443,5.9,15.1,.392,29.3,64.4,.455,15.8,20.8,.756,11.9,26.8,38.8,22.4,7.8,6.1,13.6,21.4,92.2
Charlotte Hornets,10,240.0,33.9,78.1,.434,4.4,12.0,.367,29.5,66.1,.446,23.5,31.4,.748,13.2,29.9,43.1,19.7,8.6,4.6,12.1,20.9,95.7
Dallas Mavericks,10,240.0,32.2,80.8,.399,6.1,17.2,.355,26.1,63.6,.410,21.7,25.6,.848,12.2,28.8,41.0,17.0,5.9,5.5,11.6,23.4,92.2
Sacramento Kings,8,240.0,34.6,86.0,.403,5.0,14.3,.351,29.6,71.8,.413,23.4,28.6,.817,15.1,32.5,47.6,16.8,8.1,5.3,16.6,24.3,97.6
Utah Jazz,5,240.0,33.0,77.8,.424,3.6,11.0,.327,29.4,66.8,.440,20.0,25.8,.775,12.6,29.4,42.0,23.2,5.2,5.2,12.2,26.8,89.6
New York Knicks,5,240.0,33.4,71.4,.468,4.0,11.8,.339,29.4,59.6,.493,18.2,23.4,.778,7.8,28.6,36.4,15.6,6.2,3.8,14.6,24.2,89.0
Orlando Magic,4,246.3,39.0,89.8,.435,8.0,20.5,.390,31.0,69.3,.448,16.8,24.5,.684,13.5,30.3,43.8,22.0,8.0,6.3,11.3,26.5,102.8
Phoenix Suns,4,240.0,34.0,89.5,.380,4.3,17.0,.250,29.8,72.5,.410,16.3,22.8,.714,13.5,30.8,44.3,21.3,9.8,5.8,13.8,23.5,88.5
Indiana Pacers,4,240.0,32.8,82.3,.398,6.3,18.3,.342,26.5,64.0,.414,15.5,18.8,.827,11.8,28.0,39.8,20.8,4.8,4.5,12.5,23.5,87.3
Minnesota Timberwolves,4,240.0,30.8,79.5,.387,3.0,10.0,.300,27.8,69.5,.399,17.5,21.5,.814,11.0,31.5,42.5,18.5,7.5,5.8,12.8,24.3,82.0
Portland Trail Blazers,3,240.0,32.0,76.3,.419,5.3,20.3,.262,26.7,56.0,.476,19.7,26.0,.756,9.7,28.0,37.7,16.3,6.3,4.7,15.0,21.3,89.0
Miami Heat,3,240.0,29.7,72.3,.410,5.3,16.7,.320,24.3,55.7,.437,13.7,19.3,.707,7.3,27.7,35.0,16.7,5.0,5.0,18.7,25.3,78.3
League Average,9,240.7,34.4,80.2,.429,5.3,14.8,.357,29.1,65.4,.445,19.5,25.8,.757,12.6,30.5,43.2,20.2,7.3,5.5,13.3,22.6,93.6
