team_name,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
San Antonio Spurs,24,241.0,33.8,76.8,.441,5.3,15.2,.351,28.5,61.5,.463,21.8,30.6,.712,12.1,33.4,45.5,20.7,7.8,6.9,15.2,21.4,94.8
Dallas Mavericks,20,242.5,38.7,86.1,.450,9.2,23.2,.397,29.5,62.9,.469,17.5,21.1,.829,11.2,30.9,42.1,20.4,6.1,5.2,12.5,24.3,104.1
New Jersey Nets,20,243.8,34.2,80.6,.425,4.7,13.3,.350,29.6,67.3,.439,20.6,27.1,.762,13.6,31.5,45.1,21.3,7.5,4.3,15.2,25.1,93.7
Detroit Pistons,17,242.9,30.2,73.8,.410,6.7,19.1,.352,23.5,54.8,.430,22.8,30.7,.741,10.8,28.3,39.1,17.8,8.0,5.9,13.4,23.5,89.9
Sacramento Kings,12,244.2,39.3,85.5,.459,6.8,18.4,.367,32.5,67.1,.484,22.7,29.2,.777,12.8,31.5,44.3,22.6,7.5,4.8,13.4,23.0,107.9
Los Angeles Lakers,12,242.1,37.3,83.3,.448,7.1,20.0,.354,30.3,63.3,.478,18.5,26.1,.709,12.3,30.9,43.3,20.9,7.0,5.3,13.8,24.0,100.3
Philadelphia 76ers,12,244.2,33.7,75.9,.443,3.8,10.7,.352,29.9,65.3,.458,21.0,26.2,.803,12.1,29.8,41.8,18.9,7.2,2.5,14.8,23.9,92.1
Boston Celtics,10,247.5,33.4,79.1,.422,8.6,24.3,.354,24.8,54.8,.453,19.2,24.0,.800,8.8,31.9,40.7,20.7,8.6,4.3,14.8,25.9,94.6
Portland Trail Blazers,7,240.0,36.4,79.0,.461,6.3,17.0,.370,30.1,62.0,.486,22.1,29.4,.752,15.0,29.7,44.7,23.3,6.3,3.0,13.7,22.6,101.3
Orlando Magic,7,240.0,31.0,73.1,.424,5.1,16.3,.316,25.9,56.9,.455,20.4,26.1,.781,9.9,28.3,38.1,16.0,5.3,4.0,15.3,29.9,87.6
Minnesota Timberwolves,6,244.2,37.5,81.0,.463,4.7,14.0,.333,32.8,67.0,.490,20.8,25.8,.806,8.8,33.3,42.2,22.0,6.8,3.5,15.8,24.2,100.5
Milwaukee Bucks,6,244.2,36.5,79.5,.459,6.3,17.0,.373,30.2,62.5,.483,18.5,24.8,.745,8.3,27.0,35.3,20.2,7.2,3.8,13.3,27.3,97.8
New Orleans Hornets,6,240.0,33.8,77.2,.438,6.3,17.2,.369,27.5,60.0,.458,18.8,25.3,.743,12.3,26.8,39.2,20.0,7.3,5.0,14.7,25.5,92.8
Indiana Pacers,6,244.2,30.2,77.7,.388,5.2,17.7,.292,25.0,60.0,.417,25.7,32.5,.790,13.2,33.7,46.8,19.8,7.0,5.8,14.2,23.5,91.2
Phoenix Suns,6,244.2,32.3,83.7,.386,4.7,15.7,.298,27.7,68.0,.407,15.8,22.2,.714,13.3,29.7,43.0,16.2,9.5,5.8,16.2,29.2,85.2
Utah Jazz,5,240.0,33.8,77.8,.434,1.8,6.8,.265,32.0,71.0,.451,23.6,30.0,.787,14.0,25.2,39.2,21.0,7.2,5.6,16.4,24.8,93.0
League Average,11,242.8,34.7,79.6,.436,6.1,17.1,.355,28.6,62.5,.458,20.6,27.0,.761,11.8,30.6,42.5,20.2,7.3,4.9,14.4,24.3,96.0
