team_name,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Los Angeles Lakers,23,241.1,37.3,80.4,.465,5.4,15.4,.349,32.0,65.0,.492,19.7,31.6,.623,13.2,30.1,43.3,21.8,6.6,6.1,12.2,25.3,99.8
Indiana Pacers,23,241.1,35.0,78.9,.443,7.1,18.8,.379,27.8,60.0,.463,21.0,25.4,.827,10.1,30.4,40.5,20.3,5.4,4.7,11.6,23.4,98.1
Portland Trail Blazers,16,240.0,32.4,73.1,.444,5.4,14.6,.372,27.0,58.5,.462,22.2,28.3,.785,9.8,28.4,38.2,19.3,7.4,3.8,12.7,25.3,92.5
New York Knicks,16,241.6,31.2,72.4,.431,4.5,11.4,.393,26.7,60.9,.438,17.6,23.0,.764,8.1,30.4,38.4,14.6,6.5,4.1,11.8,22.9,84.4
Philadelphia 76ers,10,242.5,34.2,80.0,.428,3.9,12.3,.317,30.3,67.7,.448,21.9,29.5,.742,13.5,28.9,42.4,19.1,6.5,4.5,12.7,22.6,94.2
Utah Jazz,10,240.0,33.1,74.6,.444,4.6,12.3,.374,28.5,62.3,.457,17.5,23.7,.738,10.3,30.0,40.3,23.6,6.9,5.4,14.9,25.0,88.3
Miami Heat,10,242.5,30.9,73.7,.419,4.7,14.9,.315,26.2,58.8,.446,16.7,24.2,.690,10.5,32.9,43.4,19.1,7.2,5.1,13.9,26.0,83.2
Phoenix Suns,9,240.0,33.4,82.2,.407,4.7,16.8,.278,28.8,65.4,.440,15.8,22.6,.700,13.9,31.0,44.9,21.0,8.1,6.2,15.3,27.4,87.3
Sacramento Kings,5,240.0,33.6,81.0,.415,6.6,17.4,.379,27.0,63.6,.425,22.6,30.0,.753,11.8,29.4,41.2,16.8,6.8,3.6,12.0,22.0,96.4
Milwaukee Bucks,5,240.0,37.8,82.6,.458,3.6,11.6,.310,34.2,71.0,.482,16.8,22.0,.764,11.4,31.4,42.8,20.6,6.6,5.6,11.8,25.0,96.0
Seattle Supersonics,5,240.0,34.8,79.6,.437,7.0,16.4,.427,27.8,63.2,.440,16.6,23.2,.716,12.4,28.6,41.0,19.8,8.2,3.4,14.6,21.8,93.2
Charlotte Hornets,4,246.3,32.3,75.0,.430,4.5,15.0,.300,27.8,60.0,.463,22.3,27.0,.824,13.5,30.5,44.0,22.8,8.3,5.8,15.5,22.0,91.3
Minnesota Timberwolves,4,240.0,34.3,76.5,.448,3.0,9.8,.308,31.3,66.8,.468,13.8,17.5,.786,10.3,24.8,35.0,23.5,6.0,4.0,11.8,23.8,85.3
San Antonio Spurs,4,240.0,28.3,76.0,.372,3.0,11.0,.273,25.3,65.0,.388,22.3,30.5,.730,12.3,34.0,46.3,15.0,8.8,7.5,16.3,20.8,81.8
Toronto Raptors,3,240.0,27.7,74.0,.374,4.3,15.7,.277,23.3,58.3,.400,24.0,31.0,.774,13.0,29.7,42.7,19.0,9.0,4.3,14.3,26.0,83.7
Detroit Pistons,3,240.0,28.0,69.3,.404,4.3,11.7,.371,23.7,57.7,.410,19.3,27.0,.716,6.0,28.3,34.3,14.7,6.0,1.7,17.0,24.7,79.7
League Average,9,241.0,33.6,77.1,.436,5.2,14.7,.352,28.4,62.4,.455,19.5,26.4,.737,11.1,30.1,41.2,19.7,6.8,4.9,13.0,24.2,91.8
