team_name,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
New Jersey Nets,20,242.5,35.9,82.9,.432,4.2,14.6,.285,31.7,68.4,.464,19.5,26.9,.726,12.4,30.4,42.7,21.3,7.9,5.5,14.2,24.5,95.4
Los Angeles Lakers,19,241.3,35.7,80.5,.444,6.1,18.0,.339,29.6,62.5,.474,20.3,28.1,.721,12.3,33.2,45.4,19.6,6.8,5.8,13.7,23.6,97.8
Sacramento Kings,16,243.1,36.9,82.4,.448,5.0,16.2,.309,31.9,66.3,.482,22.2,29.9,.741,12.9,32.6,45.6,20.6,7.5,4.7,14.8,23.8,101.1
Boston Celtics,16,240.0,32.8,78.4,.418,7.9,22.9,.343,24.9,55.5,.449,17.8,22.9,.774,10.6,32.7,43.3,18.8,8.9,4.8,14.1,22.9,91.3
San Antonio Spurs,10,240.0,32.9,76.2,.432,5.0,14.7,.340,27.9,61.5,.454,20.3,26.6,.763,11.1,29.9,41.0,16.9,6.1,6.5,11.1,20.4,91.1
Dallas Mavericks,8,243.1,39.8,88.0,.452,8.4,22.1,.379,31.4,65.9,.476,21.1,25.3,.837,10.9,31.0,41.9,19.6,6.3,4.6,12.5,25.8,109.0
Charlotte Hornets,9,245.6,34.1,81.0,.421,4.4,12.2,.364,29.7,68.8,.431,23.4,32.3,.725,14.7,31.6,46.2,19.6,8.9,7.3,14.8,27.4,96.1
Detroit Pistons,10,240.0,29.4,73.6,.399,8.0,22.6,.354,21.4,51.0,.420,16.2,22.4,.723,9.6,28.1,37.7,18.7,7.3,5.6,14.6,21.0,83.0
Indiana Pacers,5,250.0,34.8,76.0,.458,4.8,11.8,.407,30.0,64.2,.467,17.2,22.6,.761,8.4,33.8,42.2,21.2,8.2,4.0,18.2,25.0,91.6
Philadelphia 76ers,5,240.0,30.4,73.6,.413,4.0,13.0,.308,26.4,60.6,.436,24.2,32.0,.756,12.6,28.6,41.2,19.4,9.0,4.0,14.4,18.6,89.0
Seattle Supersonics,5,240.0,34.2,79.6,.430,4.8,12.2,.393,29.4,67.4,.436,13.0,19.0,.684,11.4,28.8,40.2,17.4,4.0,4.8,10.6,23.4,86.2
Toronto Raptors,5,240.0,32.6,77.2,.422,3.4,10.6,.321,29.2,66.6,.438,15.2,20.6,.738,12.4,30.0,42.4,21.0,8.0,5.2,16.0,23.4,83.8
Orlando Magic,4,252.5,33.3,78.5,.424,4.3,16.5,.258,29.0,62.0,.468,23.0,31.0,.742,9.0,30.5,39.5,19.5,5.5,3.8,12.0,25.8,93.8
Utah Jazz,4,240.0,33.0,79.5,.415,3.5,11.5,.304,29.5,68.0,.434,18.5,27.0,.685,15.3,28.0,43.3,23.0,9.0,7.0,16.5,26.0,88.0
Minnesota Timberwolves,3,240.0,36.0,81.0,.444,5.0,12.7,.395,31.0,68.3,.454,25.0,34.7,.721,14.3,35.0,49.3,16.0,5.7,2.7,15.7,27.0,102.0
Portland Trail Blazers,3,240.0,31.3,82.0,.382,6.7,18.0,.370,24.7,64.0,.385,22.0,27.7,.795,12.0,32.0,44.0,20.7,8.3,3.0,14.7,27.0,91.3
League Average,9,242.1,34.4,79.9,.431,5.6,16.6,.336,28.8,63.3,.456,19.8,26.7,.742,11.8,31.2,43.1,19.7,7.5,5.2,14.1,23.8,94.2
